SEASON	COMPETITION	PLAYER	TEAM	POS	OLD	NEW
32/33	nl1	Sōshi Nagumo	DYM	DEF	78	76
32/33	nl1	Shōya Munakata	SSK	MID	80	78
32/33	nl1	Yeray Bengoetxea	ISS	MID	88	87
32/33	nl1	Makoto Kishima	SSK	MID	86	84
32/33	nl1	Konsta Yrjölä	TOY	DEF	85	84
32/33	nl1	Neçirvan Barzani	SSK	FWD	85	84
32/33	nl1	Tömörbaatar Ganzorig	ORU	DEF	79	78
32/33	nl1	Levi Nez	BGE	FWD	79	78
32/33	nl1	Tōgo Tanioka	SHZ	FWD	81	80
32/33	nl1	Yūma Shindō	ISS	FWD	76	75
32/33	nl1	Jun Teshigawara	AYA	FWD	73	79
32/33	nl1	Shūhei Ozaki	SHZ	MID	73	72
32/33	Club World Cup	Gijs Dreesens	DYM	MID	84	89
32/33	Club World Cup	Ivan Dolgorukiy	UKA	GK	79	82
32/33	Club World Cup	Beckett Ashworth	GAE	DEF	75	77
32/33	Club World Cup	Matthias Noack	HAN	GK	87	88
32/33	Club World Cup	Péter Szabó	WIN	MID	88	91
32/33	Club World Cup	Vilmos Szilágyi	HAN	FWD	77	79
32/33	Club World Cup	Corwin Thistlewood	GAE	MID	74	75
32/33	Club World Cup	Antoine Bagradian	LUT	MID	88	82
32/33	Club World Cup	Rocco De Luca	OT	MID	87	85
32/33	Club World Cup	Renato Fioravanti	WIN	FWD	82	79
32/33	Club World Cup	Conor Dale	WIN	MID	84	79
32/33	Club World Cup	Wesley Wetherby	STM	DEF	84	82
1934	World Cup	Takeru Mikado	NCH	MID	83	82
33/34	nl1	Miltiadis Galanis	VIR	FWD	87	91
33/34	nl1	Yerrin Chindura	ISS	MID	80	84
33/34	nl1	Trent Hawthorne	ISS	FWD	91	93
33/34	nl1	Arnold Bjarnfreðsson	TAK	FWD	79	82
33/34	nl1	Hiro Oshiro	DYM	MID	79	82
33/34	nl1	Hiromu Furuhashi	SHZ	FWD	78	81
33/34	nl1	Kenshirō Unagami	SHZ	DEF	77	80
33/34	nl1	Luca Higashiyama	VIR	MID	90	91
33/34	nl1	Taiga Bashira	DYM	FWD	89	90
33/34	nl1	Shō Itoshi	SPK	FWD	87	89
33/34	nl1	Denis Kuznetsov	SPK	FWD	86	88
33/34	nl1	Masaru Jakamarra	ISS	MID	85	87
33/34	nl1	Constantin Reverdin	AYA	FWD	82	84
33/34	nl1	József Antall	NAG	FWD	82	84
33/34	nl1	Kiyoshi Torigoe	ISS	MID	82	84
33/34	nl1	Raffaele Lucchese	ISS	MID	82	84
33/34	nl1	Akihisa Kubo	FCH	GK	81	83
33/34	nl1	Juhani Hämälainen	AYA	GK	79	81
33/34	nl1	Amgalanbaatar Sükh	ORU	DEF	78	80
33/34	nl1	Takeru Nakandakari	NIK	DEF	78	80
33/34	nl1	Sviatoslav Boyko	NAG	MID	77	79
33/34	nl1	Cristian Urdaneta	NIK	DEF	76	78
33/34	nl1	Dānilo Pavlović	SEN	GK	75	77
33/34	nl1	Erlend Mikkelsen	SHZ	MID	75	77
33/34	nl1	Wout Vandenberghe	TAK	MID	75	77
33/34	nl1	Lingyun Hao	NIK	DEF	74	76
33/34	nl1	Kōki Samejima	TAK	DEF	73	75
33/34	nl1	Octave Desjardins	DYM	MID	90	91
33/34	nl1	Kōzō Fujise	DYM	DEF	88	89
33/34	nl1	Basem Shenouda	SHZ	GK	83	84
33/34	nl1	Daigo Takanashi	SPK	DEF	83	84
33/34	nl1	Kenji Nagase	SSK	FWD	83	84
33/34	nl1	Yoshikazu Takanen	DYM	DEF	83	84
33/34	nl1	Eisuke Sato	NAG	GK	82	83
33/34	nl1	Gen Fija	AYA	DEF	82	83
33/34	nl1	Orkun Çeti̇n	NAG	MID	82	83
33/34	nl1	Voptá Hendá	FCH	FWD	81	82
33/34	nl1	Yavuz Koç	SHM	FWD	81	82
33/34	nl1	Aurélien Pasquier	SHZ	MID	80	81
33/34	nl1	Dural Tanumura	SSK	GK	79	80
33/34	nl1	Kōtarō Unno	KAM	FWD	79	80
33/34	nl1	Nuno Gouveia	SPK	MID	79	80
33/34	nl1	Drake Kessler	NIK	MID	78	79
33/34	nl1	Niklas Weidmann	FCH	DEF	78	79
33/34	nl1	Patrick Stumpfegger	ASH	MID	78	79
33/34	nl1	Shintarō Katahira	KAM	DEF	78	79
33/34	nl1	Tömörbaatar Ganzorig	ORU	DEF	78	79
33/34	nl1	Ander Zubikarai	MAK	FWD	77	78
33/34	nl1	Arslanbaatar Ganbold	ORU	MID	77	78
33/34	nl1	Began Andersen	SHZ	DEF	77	78
33/34	nl1	Bürgedei Dashnyam	ORU	FWD	77	78
33/34	nl1	Kōsei Habara	SAT	DEF	77	78
33/34	nl1	Umberto Bellarmino	NAG	MID	77	78
33/34	nl1	Devante Rowley	SUM	FWD	76	77
33/34	nl1	Heng Kong	SUM	DEF	76	77
33/34	nl1	Pêr Lostanlen	TOY	MID	76	77
33/34	nl1	Sōshi Nagumo	SAT	MID	76	77
33/34	nl1	Shōhei Kaburagi	TAK	MID	75	76
33/34	nl1	Sōta Kuribayashi	ASH	GK	75	76
33/34	nl1	Tomoki Iwabuchi	ASH	FWD	75	76
33/34	nl1	Yūshin Takamura	MAK	MID	75	76
33/34	nl1	Bjarke Lindqvist	ASH	DEF	74	75
33/34	nl1	Goshi Suganuma	ASH	DEF	74	75
33/34	nl1	Masaki Togawa	TAK	DEF	74	75
33/34	nl1	Shōgo Higashiyama	SEN	MID	74	75
33/34	nl1	Artem Tkachenko	SAT	FWD	73	74
33/34	nl1	Vladimír Králik	MAK	DEF	73	74
33/34	nl1	Ørjan Skjelbred	SHM	DEF	73	74
33/34	nl1	Eisuke Tatebayashi	SHM	DEF	72	73
33/34	nl1	Miklós Nagy	ISS	GK	88	84
33/34	nl1	Unai Izagirre	KAM	GK	79	75
33/34	nl1	Nikolaos Papadopoulos	VIR	GK	83	80
33/34	nl1	Shōgo Togashi	TOY	FWD	75	72
33/34	nl1	Bhupen Narishita	SEN	FWD	73	70
33/34	nl1	Péter Szabó	SPK	MID	91	89
33/34	nl1	Jordan Stanford	SPK	GK	87	85
33/34	nl1	Kenneth Haugland	VIR	DEF	85	83
33/34	nl1	Magnus Andersson	DYM	GK	83	81
33/34	nl1	Keigo Machida	ISS	DEF	80	78
33/34	nl1	Jun Teshigawara	AYA	FWD	79	77
33/34	nl1	Robert Schlösser	FCH	FWD	79	77
33/34	nl1	Yōhei Takigawa	SPK	FWD	79	77
33/34	nl1	Shōya Munakata	SUM	MID	78	76
33/34	nl1	Biret-Ánde Sara	TOY	DEF	77	75
33/34	nl1	Kalle Vuorijärvi	TOY	DEF	77	75
33/34	nl1	Fumito Katagiri	NAG	FWD	76	74
33/34	nl1	Tibor Fazékas	AYA	MID	75	73
33/34	nl1	Adrien Beausoleil	TOY	MID	74	72
33/34	nl1	Kylian Lefranc	FCH	MID	74	72
33/34	nl1	Takanori Kajiwara	ISS	MID	74	72
33/34	nl1	Fengqi Lu	SAT	MID	73	71
33/34	nl1	Haripada Bagchi	SEN	MID	72	70
33/34	nl1	Tatsuya Kurokawa	SUM	FWD	72	70
33/34	nl1	Kouki Totsuka	MAK	FWD	71	69
33/34	nl1	Rikuto Funabashi	SEN	MID	71	69
33/34	nl1	Gijs Dreesens	DYM	MID	89	88
33/34	nl1	Genma Nishigawa	VIR	DEF	84	83
33/34	nl1	Kiyoshi Murandin	SPK	DEF	84	83
33/34	nl1	Konsta Yrjölä	TOY	DEF	84	83
33/34	nl1	Olof Sjöberg	ISS	DEF	84	83
33/34	nl1	Arthur Kohlberg	SPK	DEF	82	81
33/34	nl1	Takamasa Hida	KAM	MID	82	81
33/34	nl1	Étienne Trieu	AYA	MID	82	81
33/34	nl1	Shin Segawa	SSK	MID	81	80
33/34	nl1	Nicolas Bellamy	ISS	DEF	80	79
33/34	nl1	Ryōga Ikarashi	FCH	FWD	80	79
33/34	nl1	Daichi Komatsubara	SUM	MID	79	78
33/34	nl1	Emil Hansen	FCH	DEF	78	77
33/34	nl1	Kamal Bodhipal	KAM	FWD	78	77
33/34	nl1	Noriyuki Kiriyama	SSK	FWD	78	77
33/34	nl1	Seishirō Amane	VIR	DEF	78	77
33/34	nl1	Sélim Bouziane	SAT	DEF	78	77
33/34	nl1	Sōma Kirizuka	MAK	MID	78	77
33/34	nl1	Tamer Khalil	VIR	MID	78	77
33/34	nl1	Akseli Ruotsalainen	TOY	DEF	77	76
33/34	nl1	Chinbat Oyuunbileg	ORU	DEF	77	76
33/34	nl1	Kyōsuke Komine	ISS	FWD	77	76
33/34	nl1	Ryland Nash	DYM	FWD	77	76
33/34	nl1	Teruki Saruwatari	SSK	MID	77	76
33/34	nl1	Yūdai Tōjō	FCH	DEF	77	76
33/34	nl1	Miro Heikkinen	SEN	MID	76	75
33/34	nl1	Zolbayar Byambadorj	ORU	DEF	76	75
33/34	nl1	Bence Zsolnay	SUM	DEF	75	74
33/34	nl1	Issei Kunieda	TOY	MID	75	74
33/34	nl1	Iñigo Arrizabalaga	KAM	DEF	75	74
33/34	nl1	Kazuma Mabuse	SHM	MID	75	74
33/34	nl1	Kengo Okitsu	DYM	MID	75	74
33/34	nl1	Kōsuke Yokomizo	SEN	MID	75	74
33/34	nl1	Masahiro Kusakari	SSK	MID	75	74
33/34	nl1	Miika Kyllönen	SUM	DEF	75	74
33/34	nl1	Seiji Kasuga	AYA	MID	75	74
33/34	nl1	Semyon Volkov	TAK	GK	75	74
33/34	nl1	Yūma Shindō	FCH	FWD	75	74
33/34	nl1	Naoya Unoki	NAG	MID	74	73
33/34	nl1	Tōichirō Kaneshiro	ASH	FWD	74	73
33/34	nl1	Daisuke Unagami	FCH	DEF	73	72
33/34	nl1	Takeshi Kuraoka	SEN	DEF	73	72
33/34	nl1	Tsukasa Amagai	MAK	MID	73	72
33/34	nl1	Nyunda Yiribaru	SHM	MID	72	71
33/34	nl1	Michiaki Enomoto	NIK	FWD	70	69
33/34	nl1	Sōhei Okuno	NIK	MID	69	68
33/34	Karjanian Premier League	Christian Leino	SYV	GK	76	78
33/34	Karjanian Premier League	Henrik Kristianson	SYV	FWD	75	77
33/34	Karjanian Premier League	Armes Purtunen	PIE	FWD	79	80
33/34	Karjanian Premier League	Tim Pukki	PIE	FWD	82	83
33/34	Karjanian Premier League	Paavo Seppälä	RJK	DEF	83	82
33/34	Karjanian Premier League	Teemo Aasmae	RPS	GK	81	80
33/34	Karjanian Premier League	Aleksi Järveläinen	KUI	GK	80	81
33/34	Karjanian Premier League	Otto Kask	KUI	MID	79	80
33/34	Karjanian Premier League	Takuma Nakamura	KUI	FWD	82	81
33/34	Karjanian Premier League	Kanata Hanashima	VKS	FWD	74	77
33/34	Karjanian Premier League	James Smith	VKS	DEF	75	77
33/34	Karjanian Premier League	Roððo Duongi	NOW	FWD	78	79
33/34	Karjanian Premier League	Yūki Hattori	MRJ	FWD	75	77
33/34	Karjanian Premier League	Erik Aalto	MRJ	GK	74	77
33/34	Karjanian Premier League	Toma Shimabukuro	LAA	GK	78	80
33/34	Karjanian Premier League	Salteni Pöyhönen	AFK	FWD	71	75
