BRW	Broomwich Albion	79	79.1	Counter	3-5-2	Pass Into Space	More Direct	No Instruction	No Instruction	Be More Disciplined	Play for Set Pieces	Never	Regroup	Counter	Long	Higher	Standard	No Instruction	Get Stuck In	(77) Saša RADOVIĆ [GEN]	(78) Sōichirō FUKATSU [NCH]	(85) Attila D'AMBROSI [VIC]	(77) Reese GUERRA [ESU]	(83) Warren MARSHALL	(80) Felix HOFFMAN [ESU]	(77) Ignazio ESPOSITO [VIC]	(77) John CLARK	(79) Igor CONSALVO [VIC]	(78) Tadhg BRENNAN	(79) Rhys DEACON	(76) Lachlan MOWBRAY	(75) Joe OAKHURST	(77) Sean RAMSEY	(76) Serafim CORREIA [AUR]	(76) Harvey GRIEVE	#002F68	#FFF200	Broomwich	Stadium of the Nomads
MYH	Myhailfborough FC	79	78.9	Gegenpress	4-1-4-1	Pass Into Space	More Direct	No Instruction	Run At Defence	Be More Expressive	No Instruction	Never	Counter-Press	Counter	Short	Much Higher	Higher	Step Up	Get Stuck In	(79) Crispin WHITFIELD	(83) Danilo DELLA ROCCA [VIC]	(79) Naoto UMENOKŌJI [NCH]	(77) Ladislav KUČERA [POL]	(79) Dario PRADO [REI]	(76) Duarte VASQUES [REI]	(79) Marcus WRIGHT	(80) Cédric SERRE [ARV]	(77) Ludovico RIGGIO [VIC]	(79) Kent FORSBERG [SKJ]	(80) Freek HENDRIKS [ESU]	(76) Torquil BLYTHE	(75) Niilo VIRTANEN [KAR]	(76) Jack KERSHAW	(76) Rafferty TINSLEY	(76) Colwyn POWELL	#E32221	#FFFFFF	Myhailfsborough	The Ironopolis
SHE	Shefford United	78	78.5	Counter	4-2-3-1	Pass Into Space	More Direct	No Instruction	Run At Defence	No Instruction	Play for Set Pieces	Sometimes	Regroup	Counter	Long	Standard	Lower	Drop Off	Get Stuck In	(78) Tristan MARGETTS	(77) Eliel KLEMETTI [KAR]	(79) Don Archibald BATES [ESU]	(79) Diego MONTENEGRO [VIC]	(76) Alceste DEROCLES [ABB]	(78) Julian BOSBLOOMS [ALE]	(80) Ismael MENÉNDEZ [REI]	(79) Alden MADDOX [ESU]	(82) Spencer CHADWICK	(78) Cristian COSTANZA [AUR]	(78) Niall KINSELLA [SKJ]	(76) Callum FOTHERGILL	(75) Rupert WALSH	(76) Aneurin PORTER	(75) Josh PEEL	(74) Harvey DOE	#EE2737	#000000	Shefford	Bramhall Road
BIX	Bixby Wanderers	79	78.5	Balanced	4-4-2	Pass Into Space	Standard	No Instruction	No Instruction	No Instruction	Play for Set Pieces	Never	Regroup	Counter	Long	Standard	Lower	Drop Off	Get Stuck In	(79) Misael COPELAND	(77) Mátyás SZENDREI [GEN]	(80) Dario MORETTI [VIC]	(79) Lachlan BARWICK	(77) Dominic DE COCO [VIC]	(78) Joar BERGLUND [SKJ]	(78) Álvaro CARVALHO [REI]	(78) Rhys WARWICK	(79) Martim DUARTE [REI]	(81) Peter SELHORST [ESU]	(77) Detlef LORENZ [ALE]	(76) Will SAXBY	(75) Ben CALDICOTT	(76) Szymon KOWALCZYK [LEC]	(76) Finn HATHAWAY	(76) Declan KNIGHTLEY	#FFFFFF	#000000	Bixby	Sargassum Park
AFC	Armoury FC	77	77.4	Counter	4-3-2-1	Play Out of Defence	Shorter	Work Ball Into Box	Be More Disciplined	Be More Disciplined	Play for Set Pieces	Constantly	Regroup	No Instruction	Short	Much Lower	Much Lower	Drop Off	Stay On Feet	(78) Parker TURNER [ESU]	(82) Jedidiah WANAMAKER [PON]	(73) Naguib SHARAWI [VKT]	(76) Thatcher GRIMSBY	(74) Fergus DUNBROCH [CAL]	(81) Martino MARRESE [VIC]	(78) Colin BRUGUIÉRE [ARV]	(76) Cedric WARBURTON	(79) Egeo SCALERA [VIC]	(76) Xander BENNETT [ESU]	(78) Ottavio SCARLATTI [VIC]	(74) Vasco MADEIRA [AUR]	(73) Jamie BAINES	(75) Tyler ALDRIDGE	(74) Ross DENT	(74) Kymani HEWITT	#EF0107	#F0B323	Dunmaris	Highbury Diocesan Stadium
PIS	Piswitch Town	77	77.2	Counter	4-2-3-1	Pass Into Space	More Direct	No Instruction	No Instruction	No Instruction	Play for Set Pieces	Never	Regroup	Counter	Long	Standard	Standard	No Instruction	Get Stuck In	(78) Ryōichi NAKASHIMA [NCH]	(76) Qiushi ZHANG [GUA]	(76) Tilman ZARTMANN [PON]	(79) Tim LA GRECA [VIC]	(75) Imre KÁRPÁTI [GEN]	(76) Vural SURLU [SEL]	(76) Eren PERETZ [SHI]	(80) Axel ANDERSON [ESU]	(77) Ferruccio NOSEDA [VKT]	(78) Nathan BASS	(78) Dietrich KUNZE [ALE]	(74) Nate WHETSTONE	(73) Callum SWIFT	(75) Miles MARSH	(74) Changming ZHAO [GUA]	(74) Scott BLACKWOOD	#001489	#FFFFFF	Piswitch	Broomhill Lane
GAE	Gaelham City	77	77.2	Gegenpress	4-3-3	Pass Into Space	Standard	No Instruction	Run At Defence	Be More Expressive	No Instruction	Never	Counter-Press	Counter	Short	Higher	Higher	Step Up	No Instruction	(78) Ceferino ACOSTA [AUR]	(77) Mario HOYO [REI]	(75) Beckett ASHWORTH	(78) Giacomo CONSTANTINO [VIC]	(77) Marco PERONO [VIC]	(74) Corwin THISTLEWOOD	(79) Gavin CHAPELLE [ESU]	(79) Simo MANNERHEIM [KAR]	(76) Phong LE [ATK]	(78) Baldomero QUINTANA [REI]	(78) Pau BERMÚDEZ [REI]	(74) Sam FAIRWEATHER	(73) Dylan GOODACRE	(75) Jake CROFT	(74) Theo BURROWS	(74) Miroslav PŘIBYL [POL]	#0000FF	#FF0000	Gaelham	Bord's Heath
SCR	Scramrock Rovers	76	76.5	Balanced	4-2-3-1	Play Out of Defence	Standard	Work Ball Into Box	No Instruction	No Instruction	No Instruction	Never	Regroup	Counter	Short	Standard	Standard	No Instruction	Stay On Feet	(78) Jackson MILLER [CAL]	(74) Kazimierz WÓJCIK [LEC]	(75) Chris HADLEIGH	(76) Takumi MUNYARRYUN [NKI]	(76) Osbert CROWE	(77) Wendelin GRATZ [ALE]	(78) Aldric PENHALIGON	(76) Vilgot SUNDKVIST [SKJ]	(77) Lam VU [ATK]	(76) Quillan FAWKES	(79) Kaspar EICHENDORFF [ALE]	(74) Declan RACKHAM	(73) Jean-Luc MOREAU [ARV]	(74) Kai STRATTON	(73) Ethan DUNMORE	(74) Connor PALLISER	#001389	#E4002B	Scramrock	Elwood Bridge
WNC	Winscor Chaplains	76	76.2	Balanced	4-4-2	Play Out of Defence	Standard	No Instruction	No Instruction	Be More Disciplined	Play for Set Pieces	Sometimes	Regroup	Counter	Long	Standard	Standard	No Instruction	Get Stuck In	(80) Falco MONOPOLI [VIC]	(72) Perceval LAMARQUE [ARV]	(76) Erdem POLAT [SEL]	(77) Sterling CAULFIELD 	(73) Merritt FOXLEY	(75) Sander VANDEVELDE [HOL]	(77) Neizan ESCRIBANO [AUR]	(77) Prescott HARGRAVE	(75) Patrick STUMPFEGGER [PON]	(78) Biel BIEL [REI]	(78) Tatsuki AKAGAWA [NHO]	(73) Niall BIRKETT	(72) Reece FELLOWS	(74) Stellan HJORTH [SKJ]	(73) Joe GREYSTOCK	(73) Liam COPLEY	#003399	#FFFFFF	Winscor	Saint Domingo Stadium
MNU	Manceshire United	76	76.2	Counter	4-2-3-1	Pass Into Space	Much More Direct	Shoot On Sight	Run At Defence	Be More Expressive	No Instruction	Never	No Instruction	Counter	Long	Higher	Standard	No Instruction	No Instruction	(76) Axel BERG [LVO]	(71) Leofric SWINDELL	(77) Wolfram EBERHARDT [ALE]	(76) Garrison WHITACRE	(73) Inácio MADUREIRA [AUR]	(77) Alvaro SMALL [HOL]	(76) Barnaby CHELSWORTH	(78) Braulio SALVATIERRA [REI]	(77) Fritz HAFER [ALE]	(78) Augustijn VERHOEVEN [ALE]	(79) Arsenio MARCHETTI [VIC]	(73) Gonzalo MEDINA [REI]	(72) Harvey QUICKFALL	(74) Finn ASHCROFT	(73) Owen BRAMLEY	(73) Kyle SEDGWICK	#DA291C	#FFFFFF	Manceshire	Newton Stadium
