@	#	NATION	OVR	PLAYSTYLE	FORMATION	TIME WASTING	GK PASSING	DL BEHAVIOR	MANAGER	#1	#2	#3	#4	#5	#6	#7	#8	#9	#10	#11	SUB #1	SUB #2	SUB #3	SUB #4	SUB #5	SUB #6	SUB #7	SUB #8	SUB #9	SUB #10	SUB #11	HOME	AWAY	LOCATION	STADIUM	CONFERENCE
	AUR	Auritania	79.2	La Nuestra	4-3-3	Sometimes	Short	Offside Trap	(78) Matías ARDILES	(82) Rafael ROSARIO	(81) Jose Carlos PESCADOR	(82) Jenaro SALAMANCA	(79) Cayetano MONTOYA	(86) Efraín ARENAS	(82) Olegario PÉREZ	(79) Lisandro RIVAS	(78) Ánselmo FERNANDEZ	(82) Juvenal VERA	(87) Rosendo ZAPATERO	(79) Nicanor ARANDIA	(78) Ceferino ACOSTA	(75) Carmelo BIENVENIDA	(77) Jacinto VALENCIA	(75) Inácio MADUREIRA	(75) Orlando CORREA	(78) Emiliano LUNA	(78) Cristian COSTANZA	(78) Ivo BRANDÃO	(77) Neizan ESCRIBANO	(76) Severino GUZMÁN	(79) Arcadio VILLA	#a53138	#1a3c5e	Auritania City	Estadio Izteca (75,000)	Western
	TUR	Turulia	79.1	Tiki-Taka	4-4-2	Never	No Instruction	No Instruction	(79) Urs WALKENHORST [ALE]	(84) Miklós NAGY	(78) Mátyás SZENDREI	(79) Zalán VÁRADI	(77) Vladimír KRÁLIK	(75) Bendegúz FARKASHÁZY	(80) Gergő TÓTH	(91) Péter SZABÓ	(83) Attila HEGEDŰS	(78) Zsolt HARMATHY	(84) József ANTALL	(81) Vilmos SZILÁGYI	(82) Saša RADOVIĆ	(77) Balázs ABA	(78) Zdeno MEDVED	(76) Zsombor DÖMÖTÖR	(78) Márton NAGY	(77) Nándor MÉSZÁROS	(78) Zvonimir PAŠALIĆ	(76) Balázs JAMINAI	(76) Elemér LAKÓCZY	(77) Nicolai TAICESCU	(76) András ARATÓ	#1c1c02	#ce2939	Szerencsehely	Genosa-Velodrom (40,000)	Eastern
	PON	Ponurvia	78.7	Second Ball	4-3-3	Never	Short	Offside Trap	(76) Christoph VON SCHÖNING [LVO]	(82) Maximilian MOLLENHAUER	(82) Jedidiah WANAMAKER	(81) Tilman ZARTMANN	(78) Simon SCHULHOF	(77) Ephraim SNYDER	(87) August RITTENHOUSE	(79) Patrick STUMPFEGGER	(77) Diedrich FASSBENDER	(80) Siegmund STRACKE	(82) Wilhelm GIESEL	(80) Hans-Jürgen HŌNIGSBERG	(77) Korbinian ECKERT	(77) Nathanael CUSTER	(78) Liam BOPP	(76) Pat HASSELL	(76) Fabio LOEB	(77) Conan NEITZEL	(77) Johann PEUKERT	(76) Pirmin HOFFMEISTER	(79) Volkmar SCHERER	(79) Laurenz REINHART	(74) Robert SCHLÖSSER	#02750b	#f0e6d2	Aschengel	Aschengel-Gedenkkolosseum (88,000)	Western
	RUD	Rudania	78.0	Counter	5-3-2	Never	Long	Drop Off	(84) Báthory ZSIGMOND [TUR]	(84) Ivan DOLGORUKIY	(77) Evgeny MAKAROV	(82) Timur OORZHAK	(78) Sergei SMIRNOV	(77) Vsevolod KRESTOVSKY	(80) Vitali KOROVIN	(86) Kuzma ZVEZDINSKY	(80) Igor NOVIKOV	(76) Daivid FEDOROFF	(90) Denis KUZNETSOV	(79) Pavel SOKOLOV	(74) Mona ZHURAVLYOV	(75) Toivo GRIGOROVIC	(77) Alexei RAZUMOVSKY	(75) Artyom VLADIMOVIC	(73) Fyodor CHISTYAKOV	(72) Matvei POPOV	(76) Milan IVANOV	(76) Namsarai AYUSHEEV	(75) Yakov SOROKIN	(79) Alex KACZMAREK	(75) Erast POBEDONOSTSEV	#bc4545	#1a237e	Radagorsk	Arena CSKA (80,000)	Eastern
	SEL	Selmira	77.2	Second Ball	4-1-4-1	Sometimes	Short	Drop Off	(79) Konstantinos ARGYROS [AST]	(80) Ahmet AYDIN	(84) Tunç KENAANOĞLU	(80) Muzaffer DOĞAN	(77) Sarp SAYDA	(74) Erdem POLAT	(77) Vural SURLU	(83) Yavuz KOÇ	(86) Orkun ÇETİN	(78) Selçuk DEMIRCI	(77) Batuhan BALYOZ	(78) Haydar ŞEN	(77) Volkan ARSLAN	(75) Kutay BULUT	(74) Bahadır YALÇIN	(73) Rizgar BOZKURT	(74) Onur TEKELİ	(77) Serhat DİLBAZ	(77) Kaan ERDOĞMUŞ	(76) Cihan KARTACA	(74) Zeki NARİN	(73) Berat ÇANKAYA	(75) Darven MIÇKAS	#8e000f	#e0d4b5	Azmashir	Papazın Çayırı (55,000)	Eastern
	COR	Cortesia	75.9	Counter	4-3-3	Sometimes	Short	Offside Trap	(75) Dietrich WIRTH [ALE]	(87) Marek KOVÁČ	(77) Bogumił CIEŚLAK	(80) Peter BALÁŽ	(79) Zbigniew LEWANDOWSKI	(79) Erik ZÁHORSKÝ	(79) Bartosz JASTRZĘBSKI	(76) Édouard SZYMAŃSKI	(74) Szymon KOWALCZYK	(75) Kacper DEMBIŃSKI	(75) Miłosz ZAWADZKI	(84) Grzegorz BRZĘCZYSZCZYKIEWICZ	(74) Przemysław NOWAK	(74) Kazimierz WÓJCIK	(76) Ján NOVÁK	(73) Czesław DOMAGAŁA	(77) Jerzy WIŚNIEWSKI	(72) Jan MORSZTYN	(72) Sławomir JĘDRZEJCZYK	(71) Kordian WRÓBLEWSKI	(72) Jakub MODELSKI	(73) Radosław GOŁĘBIOWSKI	(71) Witold OSTROWSKI	#003087	#fcd116	Corslawa	Stadion Armii Lechickiej (35,000)	Eastern
	SGD	Seignid	75.5	Zona Mista	4-4-2	Never	No Instruction	No Instruction	(78) Duncan ASHDOWN [ELV]	(79) Renzo AGBAYANI	(87) Narra CATACUTAN	(79) Tadhana BATUMBAKAL	(76) Lakan DIMAYUGA	(75) Alilang CALAMBA	(76) Hiraya HALILI	(77) Kidlat ILAGAN	(74) Puso KALAW	(81) Makisig LIWANAG	(79) Catmon NACPIL	(75) Jao MACARAEG	(72) Farid PANGANIBAN	(75) Voltaire SALONGA	(76) Ali MACALIPAY	(74) Gani CACAPIT	(74) Sagip GATMAITAN	(74) Elan UMALI	(73) Araw TAPANG	(72) Kidlat YABUT	(72) Dakila Magsino BULANHAGUI	(71) Buwi CALANG	(70) Dakila YABUT	#d3b27a	#3949ab	Balong	Southern Hezhou Sports Ground (58,000)	Eastern
	VAR	Varahmehr	75.0	Vertical Tiki-Taka	4-2-3-1	Never	No Instruction	Step Up	(74) Bahram OSTOVĀR	(85) Vahid LORESTANI	(76) Eskandar DEHGHAN	(75) Touraj HAYAII	(74) Ardalan DANESH	(69) Erfan RASTKAR	(82) Daru JAFARI	(72) Rostam KHALILI	(87) Sepideh SHAKIBAII	(81) Ashkan MAHDAVI	(75) Ziyad SUBAIE	(81) Pedram NAZERI	(73) Tazta DARYAEI	(75) Parviz TAHMASB	(70) Sohrab BOZORGI	(68) Kianoush BAHARI	(68) Mohsen TABRIZI	(75) Siavash MEHRIAN	(73) Mehran SHAHI	(71) Hamad ZAHRANI	(71) Nazer SHAHRIVAR	(71) Kaveh REZGHI	(77) Saīd FARZAN	#1A2847	#F4EBD4	Nourabad	Varzeshgāh-e Sepideh-dam (45,000)	Eastern
	NKI	Kinshū	74.8	Vertical Tiki-Taka	3-4-1-2	Never	No Instruction	No Instruction	(77) Coen ALBERS [ALE]	(83) Dural TANUMURA	(80) Warrik WIRANDARU	(78) Tanjin TSUKAHARA	(76) Keigo IKEDA	(81) Kiyoshi MURANDIN	(77) Osamu MATSUMOTO	(74) Junichiro TARUGARA	(74) Eijiro MATSUMOTO	(86) Yerrin CHINDURA	(87) Masaru JAKAMARRA	(73) Itsuki GOTO	(71) Bilan TERAUCHI	(71) Manda ŌKUBO	(69) Takeo KINOSHITA	(69) Baluk CHERAGA	(71) Nyunda YIRIBARU	(71) Sadao GARABIN	(70) Nirrim BIRYARA	(73) Tarran NYARUGURU	(70) Shinji TADAYAMA	(71) Nyilan SHIKISHIMA	(71) Minoru ANDŌ	#c17817	#4e342e	Seitou	Kurranbin Oval (52,000)	Western
	AST	East Astriya	74.6	Counter	4-4-2	Never	No Instruction	No Instruction	(77) Valde KOIVU [KAR]	(86) Nikolaos PAPADOPOULOS	(72) Kleanthis PALEOLOGOS	(76) Aristeidis GEORGIOU	(74) Leonidas STAMATIOU	(74) Anastasios FOTOPOULOS	(80) Epaminondas MAVROMATIS	(84) Themistoklis ZERVAS	(74) Prokopis KARAGIANNIS	(76) Pyrros DIMITRAKOPOULOS	(89) Miltiadis GALANIS	(74) Iraklis CHRISTODOULOU	(71) Yerasimos ATHANASIADIS	(70) Grigorios GRIVAS	(72) Spyridon LYKOUDIS	(72) Periklis VOULGARIS	(73) Vlasios NIKOLAOU	(71) Odysseas KATSAROS	(70) Xenophon SAMARAS	(70) Dionysios VLAHOS	(71) Isidoros KALLERGIS	(72) Charalambos ANGELOPOULOS	(71) Yorgos MOUSTAKELLIS	#ff8802	#1565c0	Aspadana	Stádio Kanoniobolismoú (56,000)	Western
	SID	Sidanya	74.1	Counter	4-2-3-1	Never	Long	No Instruction	(76) Nikolaj VESTERGAARD [SKJ]	(89) Oleksandr SHEVCHENKO	(74) Ivan KENDERIC	(74) Ihor KOVALENKO	(73) Yurii ZAHREBELNY	(72) Ostap HRYTSENKO	(77) Danylo PEREBYINIS	(72) Taras BONDARENKO	(82) Sviatoslav BOYKO	(80) Myroslav ZALIZNIAK	(76) Borys SKOVORODA	(76) Artem TKACHENKO	(72) Bohdan SKOROPADSKY	(73) Vasyl NALYVAIKO	(72) Kanta ZIELENSKI	(72) Yaroslav KRYVONIS	(67) Nazar MELNYK	(73) Zhalek CHEREMESINOFF	(70) Klym VERNYDUB	(73) Pavlo DOVZHENKO	(72) Mykola HOLOBORODKO	(70) Levko CHORNOVIL	(71) Panas HRABOVSKY	#f4c430	#bf0103	Groscown	Respublikanski Stadion (46,000)	Eastern
	CAH	Cahaya	73.9	Wing Play	3-4-3	Sometimes	Short	Drop Off	(81) Anton ASIKAINEN [KAR]	(77) Raka WIJAYA	(80) Linus KITINGAN	(79) Teguh SETIAWAN	(75) Jehezkiel LAWAI	(72) Wahyu WIBOWO	(74) Eliezer BANSA	(73) Bagus HARTONO	(71) Ruben SIHOMBING	(82) Made DJELANTIK	(77) Kannan KURUP	(81) Daulat SIREGAR	(72) Gersom PARENGKUAN	(72) Panting JUGAH	(72) Antaei DJURUNGA	(71) Hipui MUTANG	(70) Natanael PANGGABEAN	(72) Sabin MADIUS	(70) Anta GINTING	(70) Vidi SASTROWARDOYO	(71) Cyprian KULLEH	(73) Nyoman SUARJANA	(72) Yopie RUNTUWENE	#ffc609	#1b5e20	Ganjau	Lapangan Pusat Ganjau (94,000)	Eastern
	NHO	Hōrai	73.7	La Nuestra	4-2-4	Never	No Instruction	No Instruction	(80) Rikizō KANNO [NCH]	(75) Ashim BHATTACHARYA	(74) Phani KYAITHANG	(76) Anirban GOSWAMI	(71) Susumu UEHARA	(72) Khagendra MITRA	(84) Sudhir CHAKRABORTY	(73) Sanat BARUA	(84) Tanvir HOWLADER	(82) Tatsuki AKAGAWA	(79) Kamal BODHIPAL	(83) Kenji NAGASE	(70) Arun PAL	(68) Nikhil CHATTERJEE	(68) Provat ADHIKARI	(68) Bhupen JYOTIRMOY	(70) Amiya MAJUMDAR	(70) Soumitro GANGULY	(69) Haripada BAGCHI	(75) Yoshio HANAZAWA	(74) Pradip CHOWDHURY	(69) Jatin SUDATTA	(68) Bhupen NARISHITA	#006a4e	#ef6c00	Tsubayo	Pearl of the Five Indies (66,000)	Western
	KMT	Kemet	73.3	Wing Play	4-2-3-1	Sometimes	No Instruction	Drop Off	(79) Beltrán CALDERÓN [AUR]	(77) Shenoute NEBAMUN	(73) Pakhom USERHAT	(74) Pishoy DJEHUTY	(73) Hor SENEDJEM	(69) Karas MERYRE	(83) Anoup PTAHMOSE	(77) Psote NEFERHOTEP	(78) Kolthe HARKHUF	(77) Pisenti RAMOSE	(74) Tadros AMENEMHAT	(83) Sarapamon NAKHTMIN	(69) Panoub SOBEKHOTEP	(68) Onnophre PANEHSY	(73) Sidhom IRINEFER	(72) Bishoy KHAEMWASET	(66) Papnoute KENAMUN	(73) Abanoub SETHNAKHT	(70) Moyse AMENMOSE	(73) Girgis IPUWER	(70) Menas WENNEFER	(70) Mina KHUFUANKH	(70) Phib BAKENKHONS	#1a1a2e	#00695c	Memphipolis	Pankemetic Stadium (74,000)	Eastern
	ATK	Tonkin	73.2	Counter	4-1-4-1	Never	Long	Offside Trap	(74) Helmar KNEPP [ALE]	(76) Janh NGUYEN	(74) Manh TON THAT	(76) Félix DOAN	(74) Cuong KHUAT	(71) Duy TRAN	(72) Huy LUONG	(76) Lam VU	(75) Sang PHAM	(71) Thinh DANG	(84) Étienne TRIEU	(82) Vinh NGO	(71) Rithy MACH	(70) Gia BUI	(71) Tuan HO	(71) Khoa LÝ	(71) Bao TRINH	(69) An THACH	(71) Marcel HUỲNH	(71) Dat TRUONG	(71) Nam CAO	(73) Quang ĐINH	(71) Phong LE	#da251d	#4fc3f7	Ville Tonkinoise	Parc Tonkinoise (44,000)	Eastern
	FUR	Furan	72.8	Second Ball	4-1-4-1	Never	No Instruction	No Instruction	(75) Torbjörn HALLSTRÖM [SKJ]	(76) Yang CHEN	(76) Hengbo LIU	(74) Liang WU	(74) Xiang QIAN	(73) Mingzhe XIONG	(74) Haoran PENG	(82) Sheng HUANG	(73) Fengqi LU	(73) Qiang ZHU	(75) Tianyu GU	(80) Zemin MAO	(70) Rui DENG	(70) Junwei SHEN	(70) Kaiyuan SU	(69) Bowen YE	(70) Zhenhua LUO	(71) Zhiyuan FANG	(69) Yicheng TAN	(70) Boqin XIE	(70) Ruoyu SHAO	(72) Hanwen QIU	(70) Ning JIANG	#36c526	#cc2222	Hanyang	Hanyang Central Stadium (80,000)	Eastern
	LVO	Livonia	72.5	Second Ball	4-1-4-1	Never	No Instruction	No Instruction	(76) Shunsuke TODOROKI [NCH]	(77) Axel BERG	(76) Hartwig VON BUXHOEVEDEN	(81) Gvidas RIMKEVIČIUS	(73) Ernst TIESENHAUSEN	(71) Kaspars VAITKUS	(75) Robert BERTHOLD	(84) Omar KAZLUASKA	(75) Ulrik ZILINKAS	(74) Heinrich STACKELBERG	(70) Otto MANTEUFFEL	(71) Paulus SCHMIDT	(74) Kristaps AUSEKLIS	(68) Moritz MÜLLER	(65) Dietrich HOFFMANN	(63) Erneut KOZLIAKAS	(70) Justus HERMANN	(67) Gottfried VIETINGHOFF	(78) Valdemārs LIEPIŅŠ	(73) Mindaugas PAULAUSKAS	(71) Reinhold VON UNGERN	(70) Egbert LÖWIS	(69) Woldemar WRANGELL	#677b63	#2c2c2c	Riege	Livländische Kampfbahn (26,000)	Eastern
	GUA	Guandong	71.5	Zona Mista	3-4-1-2	Never	No Instruction	No Instruction	(74) Lennard BAAIMAN [ALE]	(73) Zixuan WANG	(75) Heng KONG	(70) Feng JI	(69) Yanbo MA	(80) Qiushi ZHANG	(72) Changming ZHAO	(72) Bo YAN	(73) Lingyun HAO	(75) Wenkai ZHAO	(78) Chenguang PEI	(77) Guowei SUN	(69) Tianlei MENG	(68) Yuan LI	(68) Shaoyang GUO	(67) Xuanming QIAO	(71) Zhihao TANG	(69) Weilin FU	(69) Junjie XU	(69) Haoyu SHI	(70) Ziqiang BAO	(71) Yuxuan CUI	(68) Dongming JIA	#de2910	#7e57c2	Shanggang	Shanggang Municipal Stadium (93,000)	Eastern
	GIA	Giathka	71.4	Catenaccio	4-2-3-1	Never	Long	Drop Off	(73) Kanehiro HIRAOKA [NCH]	(76) Semyon VOLKOV	(69) Roman STEPANOV	(71) Dmitry BELOV	(69) Maxim FEDOROV	(70) Arkady SHUISKY	(77) Boris VINOGRADOV	(73) Ural YUSUPOV	(84) Ilya MOROZOV	(74) Timur ISKANDEROV	(73) Gleb VORONTSOV	(78) Valery POLYAKOV	(69) Oleg MAKAROV	(68) Konstantin KOZLOV	(67) Portik LIKKASTOV	(61) Luka ANDEROVIC	(67) Anton ORLOV	(71) Yuri BOGDANOV	(68) Pyotr EGOROV	(72) Nikolai LEBEDEV	(70) Sabit NURGALIEV	(69) Tolib RAHIMOV	(75) Vladimir TSOIKOV	#b45f06	#212121	Britannica	Tsentralny Stadion (38,000)	Eastern
	ADV	Divia	71.0	Catenaccio	4-4-2	Never	Short	No Instruction	(79) Yasunori ŌNUKI [NCH]	(74) Kerem JANABI	(69) Azad DOSKI	(75) Naguib SHARAWI	(71) Jangir BARWARI	(68) Wolfram PFEIFFER	(84) Lakhdar HAMIDI	(75) Tamer KHALIL	(74) Yaqub GHATTAS	(68) Sherko AMEDI	(86) Neçirvan BARZANI	(67) Xebat HAWRAMI	(70) Hawraz RASHIDI	(69) Ghaith MUSAWI	(69) Tariq MUTAIRI	(69) Othman BAYATI	(65) Mariwan NERWEYI	(70) Raed ENEZI	(70) Bassam KHAFAJI	(69) Safwan AZZAWI	(67) Viktor KOHLMANN	(67) Fouad TIKRITI	(65) Peshraw REKABI	#ce1126	#556b2f	Bachstadt	Zweistromstadion (50,000)	Eastern
	SAL	Salishia	71.1	Vertical Tiki-Taka	3-4-3	Never	Short	No Instruction	(83) Gabin DE COURCELLES [ARV]	(80) Piers SKORONSKY	(78) Gunther HELLAMS	(78) Cooper SAINT JOHN	(73) Ezekiel BRIDGER	(76) Cyprian REGENT	(81) William LEVICE	(72) Elijah TANNER	(70) Jonas MERCER	(73) Amos DONNELLY	(78) Ronald WARD	(74) Titus CALLOWAY	(64) Enoch FLETCHER	(72) Barnabas STRIDE	(68) Josiah HALLOWAY	(63) Hiram SUTTER	(63) Lemuel CROCKETT	(68) Micah OVERSTREET	(62) Rufus DEARBORN	(68) Ephraim BAYLISS	(61) Gideon COLTER	(70) Zebulon HARTSHORN	(72) Cyrus WINSLOW	#1f301f	#C0C0C0	Port Mercer	Chemakum Bowl (42,000)	Western
	SHI	Shivon	70.3	Catenaccio	4-2-3-1	Sometimes	No Instruction	Drop Off	(67) Innokenty PANAMAROFF	(73) Yonatan COHEN	(70) Asaf BAR-LEV	(77) Eren PERETZ	(69) Tomer MIZRAHI	(69) Roi BEN-HAIM	(73) Segev EVEN-KHEN	(71) Ravid BITON	(76) Yerucham LEHRER	(75) Dvir ALON	(72) Maoz SHAKED	(72) Gilad DAHAN	(70) Iddo AVNI	(67) Nadav TZUR	(68) Amichai SHTERN	(67) Lahav AGAM	(67) Oded LEVI	(70) Yishai GALILI	(68) Elkana ROTEM	(69) Uriel MAZOR	(68) Dolev NAGAR	(68) Zamir PELED	(68) Issam ZOGHBI	#4c72b7	#fffde7	Gonen	Itztadion Ha-Shomer (44,000)	Eastern
